Ticker,Name,Price (£),Intrinsic (£),Margin %
BPM.L,B.P. Marsh & Partner,6.9,16.02,56.9%
JET2.L,Jet2 plc,11.93,23.31,48.8%
HUW.L,Helios Underwriting ,2.18,4.07,46.5%
LTHM.L,James Latham plc,10.0,14.88,32.8%
IPX.L,Impax Asset Manageme,1.0,1.44,30.9%
PHP.L,Primary Health Prope,0.94,1.34,29.8%
BRCK.L,BRCK Group plc,0.48,0.63,23.6%
HSP.L,Hargreaves Services ,7.94,9.45,16.0%
MPE.L,M.P. Evans Group PLC,15.38,17.38,11.5%
EVPL.L,everplay group plc,2.78,2.94,5.4%
TFW.L,FW Thorpe Plc,2.75,2.82,2.6%
DOTD.L,dotdigital Group Plc,0.5,0.48,-3.5%
YOU.L,YouGov plc,2.13,1.89,-12.8%
SRC.L,SigmaRoc plc,1.25,1.09,-14.6%
FRP.L,FRP Advisory Group p,1.11,0.92,-21.2%
FRAN.L,Franchise Brands plc,1.46,1.14,-28.0%
JHD.L,James Halstead plc,1.3,0.93,-39.3%
NICL.L,Nichols plc,9.36,5.81,-61.0%
FNTL.L,Fintel Plc,1.89,1.17,-62.2%
GBG.L,GB Group plc,2.37,1.43,-65.8%
AVG.L,Avingtrans plc,6.8,4.09,-66.2%
CRW.L,Craneware plc,15.04,8.77,-71.6%
MHA.L,MHA.L,1.49,0.87,-71.9%
DATA.L,GlobalData Plc,1.07,0.61,-75.7%
AMS.L,Advanced Medical Sol,2.19,1.16,-88.7%
VIC.L,Victorian Plumbing G,0.81,0.41,-98.0%
AOM.L,ActiveOps Plc,2.45,0.0,-100.0%
BIG.L,Big Technologies PLC,1.06,0.0,-100.0%
ABDP.L,AB Dynamics plc,11.28,0.0,-100.0%
SAA.L,M&C Saatchi plc,1.44,0.0,-100.0%
BUR.L,Burford Capital Limi,3.43,0.0,-100.0%
CAML.L,Central Asia Metals ,1.55,0.0,-100.0%
WJG.L,Watkin Jones Plc,0.22,0.0,-100.0%
VCP.L,Victoria PLC,0.37,0.0,-100.0%
RWS.L,RWS Holdings plc,1.08,0.0,-100.0%
MIDW.L,Midwich Group plc,1.46,0.0,-100.0%
ANCR.L,Animalcare Group plc,3.33,1.6,-108.0%
CHRT.L,Cohort plc,13.82,5.71,-141.8%
POLR.L,Polar Capital Holdin,8.4,3.43,-145.2%
KEYS.L,Keystone Law Group p,5.56,2.24,-148.8%
CER.L,Cerillion Plc,14.0,5.04,-177.5%
GHH.L,Gooch & Housego PLC,10.8,3.56,-203.4%
FNX.L,Fonix Plc,1.58,0.52,-203.8%
CNC.L,Concurrent Technolog,2.63,0.83,-216.0%
BOKU.L,"Boku, Inc.",1.62,0.51,-218.1%
KGH.L,Knights Group Holdin,1.95,0.52,-276.5%
BKS.L,Beeks Financial Clou,1.51,0.38,-301.8%
SAVE.L,Savannah Energy PLC,6.8,0.54,-1159.6%
