DATETIME_STAMP;COMMENT;RATE
2025-06-02;Nice atmosphere and great kebab choices.;5
2025-06-02;Good value and friendly people.;4
2025-06-02;Great vegetarian options, highly recommend.;5
2025-06-04;Delicious! The meat melts in your mouth.;5
2025-06-05;Always enjoy my lunch here.;4
2025-06-06;Quick service and excellent taste.;5
2025-06-07;Food was hot and flavorful.;4
2025-06-08;Chicken kebab perfectly cooked, juicy and flavorful.;5
2025-06-09;Friendly staff and good prices.;4
2025-06-10;They never disappoint, awesome food.;5
2025-06-12;Delicious meal, loved every bite.;5
2025-06-12;Fries could be crispier but still good.;4
2025-06-12;Bread was a bit dry but meat was tasty.;4
2025-06-13;Delicious meal, loved every bite.;5
2025-06-16;Clean, fast, and delicious as always.;5
2025-06-17;Always enjoy my lunch here.;3
2025-06-17;The wrap fell apart a bit.;4
2025-06-18;Always enjoy my lunch here.;3
2025-06-21;Very nice presentation and clean tables.;4
2025-06-23;A bit expensive but worth it.;4
2025-06-25;The spicy sauce is the best part!;5
2025-06-26;Delicious! The meat melts in your mouth.;5
2025-06-26;They added extra fries for free!;3
2025-06-26;Perfect seasoning on the chicken.;5
2025-07-03;Not the best today, but usually great.;5
2025-07-05;Delicious! The meat melts in your mouth.;5
2025-07-07;Loved the spicy chicken wrap!;5
2025-07-07;Best kebab I’ve had in months!;5
2025-07-08;Loved the extra garlic sauce!;5
2025-07-09;Nice atmosphere and great kebab choices.;5
2025-07-10;Loved the mix plate, everything was hot.;5
2025-07-12;Loved the spicy chicken wrap!;5
2025-07-13;Sauce too spicy but flavorful.;3
2025-07-15;They added extra fries for free!;3
2025-07-15;Good kebab, but too much onion.;4
2025-07-16;Quick service and excellent taste.;5
2025-07-18;I wish portions were a bit bigger.;3
2025-07-18;Fantastic kebab, juicy and fresh.;5
2025-07-22;My go-to kebab spot every Friday.;3
2025-07-28;Loved the portion size and taste.;5
2025-07-28;Always enjoy my lunch here.;4
2025-07-29;The salad was fresh and crunchy.;4
2025-07-30;Always fresh, always tasty.;4
2025-08-01;Great meal after the gym!;5
2025-08-01;Tasty meat, crunchy fries, top!;4
2025-08-02;They added extra fries for free!;4
2025-08-05;The meat was tender and well-seasoned.;4
2025-08-06;Crispy fries, juicy meat, what else!;4
2025-08-09;Food was hot and flavorful.;4
2025-08-12;Simple menu, but everything tastes great.;5
2025-08-15;Friendly service, tasty food, fair prices.;4
2025-08-19;The salad was fresh and crunchy.;4
2025-08-22;Always fresh, always tasty.;4
2025-08-24;One of the best in the area!;5
2025-08-24;Good food but a bit too salty.;4
2025-08-25;Tasty kebab, good ambiance.;4
2025-08-25;Good kebab, but too much onion.;4
2025-08-27;Affordable and always good quality.;4
2025-08-29;Best garlic sauce in the city!;5
2025-08-30;The spicy sauce is the best part!;5
2025-08-31;Best garlic sauce in the city!;5
2025-09-02;Great meal after the gym!;5
2025-09-03;Fast service, nice staff, very clean place.;4
2025-09-04;The kebab was amazing as always.;5
2025-09-06;Great value for the menu deal.;5
2025-09-06;Loved the portion size and taste.;5
2025-09-08;Bread was a bit dry but meat was tasty.;4
2025-09-10;Clean tables and quick service, thanks!;4
2025-09-13;Delicious! The meat melts in your mouth.;5
2025-09-17;Perfect spot for a quick bite.;5
2025-09-18;Everything tasted homemade and fresh.;4
2025-09-20;The fries were cold this time.;2
2025-09-25;My favorite local kebab shop!;5
2025-09-25;Delicious meal, loved every bite.;5
2025-09-26;Simple menu, but everything tastes great.;5
2025-09-27;Good kebab, but too much onion.;4
2025-09-27;The falafel wrap was fresh and crunchy.;4
2025-09-27;Too salty for my taste today.;2
2025-09-28;Tasty meat, crunchy fries, top!;4
2025-09-29;The salad was fresh and crunchy.;4
2025-09-30;Portions are generous and prices fair.;3
2025-10-03;My go-to kebab spot every Friday.;4
2025-10-07;Quick service and excellent taste.;5
2025-10-09;Fast and tasty, will return soon.;4
2025-10-12;Too salty for my taste today.;2
2025-10-12;Clean tables and quick service, thanks!;4
2025-10-12;Fast and tasty, will return soon.;4
2025-10-13;Clean tables and quick service, thanks!;4
2025-10-13;They added extra fries for free!;4
2025-10-14;Tasty meat, crunchy fries, top!;4
2025-10-19;A bit expensive but worth it.;4
2025-10-20;Always fresh, always tasty.;4
2025-10-21;Delicious! The meat melts in your mouth.;5
2025-10-22;Friendly staff and good prices.;4
2025-10-26;Not the best today, but usually great.;5
2025-10-27;Could use more salad inside the wrap.;3
2025-10-27;The kebab was amazing as always.;5
2025-10-28;Fast and tasty, will return soon.;4
2025-10-31;Best kebab in town, crispy fries too!;5
2025-11-04;Fast service, nice staff, very clean place.;4
