IATA_Code,Airport_Name,City,Country,Country_Code,Airport_Type
OAI,Bagram Airfield,Bagram,Afghanistan,AF,medium_airport
HEA,Herat - Khwaja Abdullah Ansari International Airport,Guzara,Afghanistan,AF,large_airport
JAA,Jalalabad Airport,Jalalabad,Afghanistan,AF,medium_airport
KBL,Kabul International Airport,Kabul,Afghanistan,AF,large_airport
KDH,Ahmad Shah Baba International Airport,Kandahar,Afghanistan,AF,large_airport
KHT,Khost International Airport,Khost,Afghanistan,AF,medium_airport
UND,Kunduz Airport,Kunduz,Afghanistan,AF,medium_airport
MMZ,Maymana Zahiraddin Faryabi Airport,Maymana,Afghanistan,AF,medium_airport
MZR,Mazar-i-Sharif International Airport,Mazar-i-Sharif,Afghanistan,AF,large_airport
KFZ,Kukës International Airport,Kukës,Albania,AL,medium_airport
TIA,Tirana International Airport Mother Teresa,Rinas,Albania,AL,large_airport
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,DZ,medium_airport
ALG,Houari Boumediene Airport,Algiers,Algeria,DZ,large_airport
AAE,Annaba Rabah Bitat Airport,Annaba,Algeria,DZ,large_airport
BLJ,Batna Mostefa Ben Boulaid Airport,Batna,Algeria,DZ,large_airport
BSK,Biskra - Mohamed Khider Airport,Biskra,Algeria,DZ,large_airport
BMW,Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria,DZ,medium_airport
CBH,Béchar Boudghene Ben Ali Lotfi Airport,Béchar,Algeria,DZ,medium_airport
BJA,Soummam–Abane Ramdane Airport,Béjaïa,Algeria,DZ,large_airport
CFK,Chlef Aboubakr Belkaid International Airport,Chlef,Algeria,DZ,large_airport
CZL,Mohamed Boudiaf International Airport,Constantine,Algeria,DZ,large_airport
DJG,Tiska Djanet Airport,Djanet,Algeria,DZ,large_airport
GHA,Noumérat - Moufdi Zakaria Airport,El Atteuf,Algeria,DZ,medium_airport
ELG,El Golea Airport,El Menia,Algeria,DZ,medium_airport
ORN,Oran Es-Sénia (Ahmed Ben Bella) International Airport,Es-Sénia,Algeria,DZ,large_airport
MUW,Ghriss Airport,Ghriss,Algeria,DZ,medium_airport
ELU,Guemar Airport - مطار قمار بالوادي,Guemar,Algeria,DZ,medium_airport
HME,Hassi Messaoud-Oued Irara Krim Belkacem Airport,Hassi Messaoud,Algeria,DZ,medium_airport
HRM,Hassi R'Mel Airport,Hassi R'Mel,Algeria,DZ,medium_airport
VVZ,Illizi Takhamalt Airport,Illizi,Algeria,DZ,medium_airport
IAM,Zarzaitine - In Aménas Airport,In Aménas,Algeria,DZ,medium_airport
INZ,In Salah Airport,In Salah,Algeria,DZ,medium_airport
LOO,Laghouat - Molay Ahmed Medeghri Airport,Laghouat,Algeria,DZ,medium_airport
MZW,Mecheria Airport,Mecheria,Algeria,DZ,medium_airport
OGX,Ain Beida Airport,Ouargla,Algeria,DZ,medium_airport
BUJ,Bou Saada Airport,Ouled Sidi Brahim,Algeria,DZ,medium_airport
QSF,Ain Arnat Airport,Sétif,Algeria,DZ,medium_airport
TAF,Oran Tafraoui Airport,Tafraoui,Algeria,DZ,medium_airport
GJL,Jijel Ferhat Abbas Airport,Tahir,Algeria,DZ,large_airport
TMR,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,DZ,large_airport
TID,Abdelhafid Boussouf Bou Chekif Airport,Tiaret,Algeria,DZ,medium_airport
TMX,Timimoun Airport,Timimoun,Algeria,DZ,medium_airport
TIN,Tindouf Airport,Tindouf,Algeria,DZ,medium_airport
TGR,Touggourt Sidi Madhi Airport,Touggourt,Algeria,DZ,medium_airport
TEE,Cheikh Larbi Tébessi Airport,Tébessi,Algeria,DZ,medium_airport
TLM,Zenata – Messali El Hadj Airport,Zenata,Algeria,DZ,large_airport
PPG,Pago Pago International Airport,Pago Pago,American Samoa,AS,large_airport
BUG,Benguela Airport,Benguela,Angola,AO,medium_airport
CAB,Cabinda Airport,Cabinda,Angola,AO,medium_airport
CBT,Catumbela Airport,Catumbela,Angola,AO,medium_airport
DUE,Dundo Airport,Chitato,Angola,AO,medium_airport
NOV,Albano Machado Airport,Huambo,Angola,AO,medium_airport
SVP,Kuito Airport,Kuito,Angola,AO,medium_airport
LAD,Quatro de Fevereiro International Airport,Luanda,Angola,AO,large_airport
NBJ,Dr. Antonio Agostinho Neto International Airport,Luanda (Ícolo e Bengo),Angola,AO,large_airport
SDD,Lubango Mukanka International Airport,Lubango,Angola,AO,medium_airport
LUO,Luena Airport,Luena,Angola,AO,medium_airport
MEG,Malanje Airport,Malanje,Angola,AO,medium_airport
SSY,Mbanza Congo Airport,Mbanza Congo,Angola,AO,medium_airport
SPP,Menongue Airport,Menongue,Angola,AO,medium_airport
MSZ,Welwitschia Mirabilis International Airport,Moçâmedes,Angola,AO,medium_airport
GXG,Negage Airport,Negage,Angola,AO,medium_airport
VPE,Ngjiva Pereira Airport,Ngiva,Angola,AO,medium_airport
PBN,Porto Amboim Airport,Port Amboim,Angola,AO,medium_airport
VHC,Saurimo Airport,Saurimo,Angola,AO,medium_airport
SZA,Soyo Airport,Soyo,Angola,AO,medium_airport
NDD,Sumbe Airport,Sumbe,Angola,AO,medium_airport
UGO,Uige Airport,Uige,Angola,AO,medium_airport
XGN,Xangongo Airport,Xangongo,Angola,AO,medium_airport
AXA,Clayton J. Lloyd International Airport,The Valley,Anguilla,AI,medium_airport
