fuel_id,trip_id,asset_id,driver_id,refuel_date,refuel_time,country,location,fuel_station,fuel_type,liters_purchased,price_per_liter_local,total_cost_local,total_cost_usd,odometer_reading,fuel_efficiency_km_per_liter,payment_method,receipt_number
FUEL-00001,TRP-0001,AST-076,DRV-041,2025-02-05,00:00:00,Kenya,Eldoret,Shell - Eldoret,Diesel,104.8,175,18340.0,141.22,149515,5.5,Cash,FUEL-68899
FUEL-00002,TRP-0002,AST-113,DRV-076,2025-02-24,00:00:00,Rwanda,Ruhengeri,Kobil - Ruhengeri,Diesel,99.8,1470,146706.0,112.96,53141,6.4,Company Card,FUEL-80164
FUEL-00003,TRP-0003,AST-089,DRV-007,2024-07-18,00:00:00,Kenya,Eldoret,Shell - Eldoret,Diesel,89.5,175,15662.5,120.6,131138,5.4,Cash,FUEL-23564
FUEL-00004,TRP-0004,AST-077,DRV-018,2024-10-26,00:00:00,Tanzania,Mwanza,Total - Mwanza,Diesel,99.4,4850,482090.0,192.84,203787,5.4,Cash,FUEL-21168
FUEL-00005,TRP-0005,AST-053,DRV-080,2024-02-17,00:00:00,Ethiopia,Dire Dawa,Shell - Dire Dawa,Diesel,115.8,67,7758.6,139.65,81351,5.4,Cash,FUEL-31109
FUEL-00006,TRP-0006,AST-040,DRV-070,2025-01-29,00:00:00,Kenya,Nairobi,Total - Nairobi,Diesel,12.4,175,2170.0,16.71,192498,5.8,Company Card,FUEL-59726
FUEL-00007,TRP-0007,AST-078,DRV-132,2024-02-24,00:00:00,Uganda,Kampala,Total - Kampala,Diesel,22.7,6200,140740.0,38.0,134379,5.9,Company Card,FUEL-73107
FUEL-00008,TRP-0008,AST-012,DRV-065,2024-09-08,00:00:00,Tanzania,Dar es Salaam,Puma Energy - Dar es Salaam,Diesel,14.6,4850,70810.0,28.32,30960,6.3,Company Card,FUEL-55341
FUEL-00009,TRP-0009,AST-116,DRV-122,2025-01-24,00:00:00,Uganda,Entebbe,Kobil - Entebbe,Diesel,93.3,6200,578460.0,156.18,51860,6.1,Cash,FUEL-47889
FUEL-00010,TRP-0010,AST-057,DRV-031,2024-02-02,00:00:00,Uganda,Gulu,Total - Gulu,Diesel,16.0,6200,99200.0,26.78,222070,6.3,Cash,FUEL-17849
FUEL-00011,TRP-0011,AST-035,DRV-015,2024-02-06,00:00:00,Uganda,Gulu,Puma Energy - Gulu,Diesel,11.6,6200,71920.0,19.42,224011,6.2,Cash,FUEL-66818
FUEL-00012,TRP-0012,AST-089,DRV-007,2024-11-11,00:00:00,Kenya,Mombasa,Total - Mombasa,Diesel,100.7,175,17622.5,135.69,136443,5.3,Company Card,FUEL-98749
FUEL-00013,TRP-0013,AST-017,DRV-089,2024-05-04,00:00:00,Kenya,Nairobi,Puma Energy - Nairobi,Diesel,102.5,175,17937.5,138.12,143494,5.7,Company Card,FUEL-47546
FUEL-00014,TRP-0014,AST-085,DRV-113,2024-12-20,00:00:00,Tanzania,Dodoma,Total - Dodoma,Diesel,69.5,4850,337075.0,134.83,233043,5.7,Company Card,FUEL-75928
FUEL-00015,TRP-0015,AST-027,DRV-004,2024-01-28,00:00:00,Kenya,Mombasa,Total - Mombasa,Diesel,112.9,175,19757.5,152.13,179383,5.1,Cash,FUEL-93564
FUEL-00016,TRP-0016,AST-113,DRV-076,2024-03-31,00:00:00,Rwanda,Ruhengeri,Puma Energy - Ruhengeri,Diesel,95.8,1470,140826.0,108.44,54277,5.6,Cash,FUEL-39409
FUEL-00017,TRP-0017,AST-080,DRV-129,2024-09-05,00:00:00,Rwanda,Butare,Total - Butare,Diesel,76.5,1470,112455.0,86.59,220129,5.2,Company Card,FUEL-55295
FUEL-00018,TRP-0018,AST-017,DRV-089,2024-03-28,00:00:00,Kenya,Kisumu,Kobil - Kisumu,Diesel,78.4,175,13720.0,105.64,141033,5.4,Cash,FUEL-12457
FUEL-00019,TRP-0019,AST-101,DRV-109,2024-10-29,00:00:00,Ethiopia,Addis Ababa,Shell - Addis Ababa,Diesel,16.4,67,1098.8,19.78,203551,6.1,Cash,FUEL-62093
FUEL-00020,TRP-0020,AST-106,DRV-048,2024-05-31,00:00:00,Uganda,Kampala,Total - Kampala,Diesel,113.4,6200,703080.0,189.83,193967,5.9,Company Card,FUEL-48302
FUEL-00021,TRP-0021,AST-109,DRV-047,2024-09-28,00:00:00,Kenya,Kisumu,Kobil - Kisumu,Diesel,97.9,175,17132.5,131.92,157785,5.5,Company Card,FUEL-65140
FUEL-00022,TRP-0022,AST-110,DRV-028,2024-02-04,00:00:00,Uganda,Entebbe,Shell - Entebbe,Diesel,77.3,6200,479260.0,129.4,149807,5.6,Company Card,FUEL-47604
FUEL-00023,TRP-0023,AST-115,DRV-054,2025-02-28,00:00:00,Tanzania,Mbeya,Shell - Mbeya,Diesel,19.9,4850,96515.0,38.61,170147,5.4,Cash,FUEL-50430
FUEL-00024,TRP-0024,AST-045,DRV-099,2024-04-14,00:00:00,Ethiopia,Addis Ababa,Shell - Addis Ababa,Diesel,84.9,67,5688.3,102.39,111658,5.9,Company Card,FUEL-72312
FUEL-00025,TRP-0025,AST-056,DRV-028,2024-09-05,00:00:00,Uganda,Mbarara,Total - Mbarara,Diesel,265.4,6200,1645480.0,444.28,105268,5.2,Company Card,FUEL-23793
FUEL-00026,TRP-0026,AST-049,DRV-103,2024-03-30,00:00:00,Kenya,Nairobi,Kobil - Nairobi,Diesel,78.2,175,13685.0,105.37,170773,5.2,Company Card,FUEL-38433
FUEL-00027,TRP-0027,AST-061,DRV-125,2024-07-26,00:00:00,Rwanda,Ruhengeri,Kobil - Ruhengeri,Diesel,120.3,1470,176841.0,136.17,94556,5.8,Cash,FUEL-16541
FUEL-00028,TRP-0028,AST-109,DRV-047,2024-04-22,00:00:00,Kenya,Kisumu,Shell - Kisumu,Diesel,37.8,175,6615.0,50.94,156926,5.9,Cash,FUEL-32968
FUEL-00029,TRP-0029,AST-041,DRV-044,2024-12-07,00:00:00,Kenya,Nakuru,Total - Nakuru,Diesel,147.5,175,25812.5,198.76,206126,5.2,Company Card,FUEL-97228
FUEL-00030,TRP-0030,AST-051,DRV-098,2025-01-08,00:00:00,Kenya,Eldoret,Total - Eldoret,Diesel,45.8,175,8015.0,61.72,171617,5.8,Cash,FUEL-54104
FUEL-00031,TRP-0031,AST-075,DRV-101,2024-03-11,00:00:00,Kenya,Nakuru,Shell - Nakuru,Diesel,25.2,175,4410.0,33.96,22765,5.7,Company Card,FUEL-51979
FUEL-00032,TRP-0032,AST-115,DRV-054,2024-08-01,00:00:00,Tanzania,Mwanza,Puma Energy - Mwanza,Diesel,133.6,4850,647960.0,259.18,167779,5.2,Cash,FUEL-27324
FUEL-00033,TRP-0033,AST-007,DRV-053,2024-05-12,00:00:00,Tanzania,Mwanza,Kobil - Mwanza,Diesel,21.3,4850,103305.0,41.32,97688,6.2,Company Card,FUEL-81159
FUEL-00034,TRP-0034,AST-104,DRV-055,2025-01-20,00:00:00,Tanzania,Arusha,Kobil - Arusha,Diesel,127.7,4850,619345.0,247.74,63104,5.3,Company Card,FUEL-76570
FUEL-00035,TRP-0035,AST-015,DRV-116,2025-02-11,00:00:00,Uganda,Mbarara,Shell - Mbarara,Diesel,201.9,6200,1251780.0,337.98,128236,5.5,Company Card,FUEL-51096
FUEL-00036,TRP-0036,AST-019,DRV-071,2025-02-21,00:00:00,Kenya,Mombasa,Puma Energy - Mombasa,Diesel,54.8,175,9590.0,73.84,136921,5.1,Cash,FUEL-99326
FUEL-00037,TRP-0037,AST-114,DRV-015,2024-02-03,00:00:00,Uganda,Kampala,Puma Energy - Kampala,Diesel,121.2,6200,751440.0,202.89,197926,5.8,Company Card,FUEL-30119
FUEL-00038,TRP-0038,AST-042,DRV-053,2025-01-25,00:00:00,Tanzania,Mwanza,Total - Mwanza,Diesel,138.8,4850,673180.0,269.27,149960,5.6,Company Card,FUEL-22039
