invoice_id,trip_id,client_id,invoice_date,due_date,invoice_amount_usd,tax_amount_usd,total_amount_usd,payment_status,payment_date,payment_method,currency,exchange_rate_to_usd,late_payment_days,discount_applied_usd,outstanding_amount_usd
INV-0001,TRP-0001,CLT-010,2025-02-07,2025-04-08,285.25,51.34,336.6,Paid,2025-03-30,Cash,KES,0.0077,0,0,0
INV-0002,TRP-0002,CLT-036,2025-02-27,2025-03-29,1765.2,317.74,2082.94,Unpaid,,,RWF,0.00077,338,0,2082.94
INV-0003,TRP-0003,CLT-051,2024-07-19,2024-09-02,705.06,126.91,831.97,Paid,2024-08-17,Cash,KES,0.0077,0,0,0
INV-0004,TRP-0004,CLT-002,2024-10-29,2024-12-13,579.6,104.33,683.93,Paid,2024-11-29,Cash,TZS,0.0004,0,0,0
INV-0005,TRP-0005,CLT-044,2024-02-18,2024-03-19,2039.0,367.02,2406.02,Partially Paid,2024-03-26,Check,ETB,0.018,7,0,887.31
INV-0006,TRP-0006,CLT-025,2025-01-31,2025-02-15,162.68,29.28,191.96,Paid,2025-02-13,Cash,KES,0.0077,0,0,0
INV-0007,TRP-0007,CLT-031,2024-02-27,2024-03-13,293.2,52.78,345.98,Partially Paid,2024-03-21,Check,UGX,0.00027,8,0,180.73
INV-0008,TRP-0008,CLT-029,2024-09-11,2024-09-26,325.08,58.51,383.59,Partially Paid,2024-10-07,Mobile Money,TZS,0.0004,11,0,140.38
INV-0009,TRP-0009,CLT-013,2025-01-27,2025-03-13,951.0,171.18,1122.18,Paid,2025-02-27,Mobile Money,UGX,0.00027,0,0,0
INV-0010,TRP-0010,CLT-008,2024-02-04,2024-04-04,1233.75,222.07,1455.83,Paid,2024-04-09,Cash,UGX,0.00027,5,0,0
INV-0011,TRP-0011,CLT-009,2024-02-08,2024-03-24,138.3,24.89,163.19,Paid,2024-03-13,Mobile Money,UGX,0.00027,0,0,0
INV-0012,TRP-0012,CLT-026,2024-11-14,2024-12-14,597.96,107.63,705.59,Paid,2024-11-30,Cash,KES,0.0077,0,0,0
INV-0013,TRP-0013,CLT-027,2024-05-06,2024-07-05,799.4,143.89,943.29,Paid,2024-06-29,Check,KES,0.0077,0,0,0
INV-0014,TRP-0014,CLT-021,2024-12-21,2025-02-04,549.78,98.96,648.74,Paid,2025-01-17,Cash,TZS,0.0004,0,0,0
INV-0015,TRP-0015,CLT-066,2024-01-31,2024-03-01,159.12,28.64,187.76,Paid,2024-02-23,Bank Transfer,KES,0.0077,0,0,0
INV-0016,TRP-0016,CLT-018,2024-04-02,2024-06-01,214.8,38.66,253.46,Paid,2024-05-03,Cash,RWF,0.00077,0,0,0
INV-0017,TRP-0017,CLT-048,2024-09-08,2024-11-07,163.8,29.48,193.28,Paid,2024-11-02,Check,RWF,0.00077,0,0,0
INV-0018,TRP-0018,CLT-018,2024-03-31,2024-05-30,4732.8,851.9,5584.7,Paid,2024-05-07,Mobile Money,KES,0.0077,0,236.64,0
INV-0019,TRP-0019,CLT-077,2024-11-01,2024-12-16,286.3,51.53,337.83,Paid,2024-12-02,Check,ETB,0.018,0,0,0
INV-0020,TRP-0020,CLT-067,2024-06-02,2024-06-17,5359.2,964.66,6323.86,Partially Paid,2024-06-28,Cash,UGX,0.00027,11,0,3092.89
INV-0021,TRP-0021,CLT-075,2024-09-30,2024-11-14,2169.6,390.53,2560.13,Paid,2024-11-01,Cash,KES,0.0077,0,108.48,0
INV-0022,TRP-0022,CLT-059,2024-02-06,2024-03-22,1036.8,186.62,1223.42,Paid,2024-03-02,Mobile Money,UGX,0.00027,0,0,0
INV-0023,TRP-0023,CLT-021,2025-03-02,2025-04-16,206.58,37.18,243.76,Paid,2025-03-27,Check,TZS,0.0004,0,0,0
INV-0024,TRP-0024,CLT-005,2024-04-16,2024-05-16,5438.4,978.91,6417.31,Partially Paid,2024-05-18,Check,ETB,0.018,2,0,2601.08
INV-0025,TRP-0025,CLT-021,2024-09-08,2024-10-23,804.32,144.78,949.1,Paid,2024-10-21,Bank Transfer,UGX,0.00027,0,0,0
INV-0026,TRP-0026,CLT-034,2024-04-01,2024-05-16,90.6,16.31,106.91,Paid,2024-05-20,Check,KES,0.0077,4,0,0
INV-0027,TRP-0027,CLT-075,2024-07-27,2024-09-10,442.8,79.7,522.5,Paid,2024-08-29,Mobile Money,RWF,0.00077,0,0,0
INV-0028,TRP-0028,CLT-036,2024-04-23,2024-05-23,576.2,103.72,679.92,Partially Paid,2024-06-03,Mobile Money,KES,0.0077,11,0,475.57
INV-0029,TRP-0029,CLT-010,2024-12-08,2025-02-06,1542.8,277.7,1820.5,Paid,2025-01-10,Cash,KES,0.0077,0,0,0
INV-0030,TRP-0030,CLT-021,2025-01-10,2025-02-24,948.45,170.72,1119.17,Paid,2025-02-23,Mobile Money,KES,0.0077,0,0,0
INV-0031,TRP-0031,CLT-056,2024-03-14,2024-03-29,1189.65,214.14,1403.79,Paid,2024-04-03,Cash,KES,0.0077,5,0,0
INV-0032,TRP-0032,CLT-021,2024-08-03,2024-09-17,238.68,42.96,281.64,Paid,2024-09-19,Cash,TZS,0.0004,2,0,0
INV-0033,TRP-0033,CLT-069,2024-05-14,2024-05-29,463.8,83.48,547.28,Paid,2024-06-02,Cash,TZS,0.0004,4,0,0
INV-0034,TRP-0034,CLT-002,2025-01-23,2025-03-09,749.52,134.91,884.43,Paid,2025-03-04,Cash,TZS,0.0004,0,0,0
INV-0035,TRP-0035,CLT-050,2025-02-13,2025-03-15,740.34,133.26,873.6,Paid,2025-03-05,Bank Transfer,UGX,0.00027,0,0,0
INV-0036,TRP-0036,CLT-022,2025-02-23,2025-04-09,3459.6,622.73,4082.33,Paid,2025-03-18,Mobile Money,KES,0.0077,0,172.98,0
INV-0037,TRP-0037,CLT-009,2024-02-05,2024-03-21,577.5,103.95,681.45,Partially Paid,2024-03-22,Check,UGX,0.00027,1,0,371.61
INV-0038,TRP-0038,CLT-059,2025-01-28,2025-03-14,1573.95,283.31,1857.26,Paid,2025-02-22,Mobile Money,TZS,0.0004,0,0,0
INV-0039,TRP-0039,CLT-040,2024-08-29,2024-10-28,1613.15,290.37,1903.52,Unpaid,,,TZS,0.0004,490,0,1903.52
INV-0040,TRP-0040,CLT-005,2025-02-17,2025-03-19,1950.0,351.0,2301.0,Paid,2025-03-09,Check,ETB,0.018,0,97.5,0
