payroll_id,driver_id,pay_period_start,pay_period_end,payment_date,base_salary_usd,trip_bonuses_usd,performance_bonus_usd,overtime_hours,overtime_pay_usd,deductions_usd,net_pay_usd,payment_method,payment_status,trips_completed,total_distance_km
PAY-00001,DRV-001,2024-01-01,2024-01-31,2024-02-05,806,34.37,56.8,21,108.46,133.04,872.59,Bank Transfer,Paid,4,2390
PAY-00002,DRV-002,2024-01-01,2024-01-31,2024-02-05,783,17.04,45.07,15,87.19,124.75,807.55,Bank Transfer,Paid,2,1382
PAY-00003,DRV-003,2024-01-01,2024-01-31,2024-02-05,774,0.0,39.26,10,50.7,120.33,743.63,Bank Transfer,Paid,0,0
PAY-00004,DRV-004,2024-01-01,2024-01-31,2024-02-05,653,151.84,41.46,0,0.0,93.98,752.32,Bank Transfer,Paid,13,8365
PAY-00005,DRV-005,2024-01-01,2024-01-31,2024-02-05,657,9.33,18.87,5,31.95,103.18,613.98,Bank Transfer,Paid,1,774
PAY-00006,DRV-006,2024-01-01,2024-01-31,2024-02-05,754,0.0,53.53,5,33.35,105.83,735.05,Bank Transfer,Paid,0,0
PAY-00007,DRV-007,2024-01-01,2024-01-31,2024-02-05,822,9.81,63.14,12,80.11,139.29,835.77,Bank Transfer,Paid,1,100
PAY-00008,DRV-008,2024-01-01,2024-01-31,2024-02-05,938,0.0,0,9,60.41,112.93,885.48,Bank Transfer,Paid,0,0
PAY-00009,DRV-009,2024-01-01,2024-01-31,2024-02-05,807,0.0,33.8,9,53.84,105.2,789.44,Bank Transfer,Paid,0,0
PAY-00010,DRV-010,2024-01-01,2024-01-31,2024-02-05,852,0.0,0,20,120.68,113.84,858.84,Bank Transfer,Paid,0,0
PAY-00011,DRV-011,2024-01-01,2024-01-31,2024-02-05,766,0.0,0,7,40.47,132.84,673.63,Bank Transfer,Paid,0,0
PAY-00012,DRV-012,2024-01-01,2024-01-31,2024-02-05,738,0.0,0,18,93.53,102.72,728.81,Bank Transfer,Paid,0,0
PAY-00013,DRV-013,2024-01-01,2024-01-31,2024-02-05,854,9.05,25.9,20,104.12,123.32,869.75,Bank Transfer,Paid,1,260
PAY-00014,DRV-014,2024-01-01,2024-01-31,2024-02-05,791,0.0,0,5,27.08,119.96,698.12,Bank Transfer,Paid,0,0
PAY-00015,DRV-015,2024-01-01,2024-01-31,2024-02-05,729,73.0,51.06,0,0.0,119.05,734.0,Bank Transfer,Paid,8,4687
PAY-00016,DRV-016,2024-01-01,2024-01-31,2024-02-05,928,0.0,69.03,7,43.59,127.17,913.45,Bank Transfer,Paid,0,0
PAY-00017,DRV-017,2024-01-01,2024-01-31,2024-02-05,803,0.0,31.48,7,43.54,140.57,737.45,Bank Transfer,Paid,0,0
PAY-00018,DRV-018,2024-01-01,2024-01-31,2024-02-05,809,10.4,35.45,25,141.63,132.04,864.44,Bank Transfer,Paid,1,729
PAY-00019,DRV-019,2024-01-01,2024-01-31,2024-02-05,909,0.0,40.41,21,105.79,123.11,932.08,Bank Transfer,Paid,0,0
PAY-00020,DRV-020,2024-01-01,2024-01-31,2024-02-05,887,0.0,61.29,24,144.59,159.59,933.28,Bank Transfer,Paid,0,0
PAY-00021,DRV-021,2024-01-01,2024-01-31,2024-02-05,651,20.63,0,23,154.42,108.76,717.29,Bank Transfer,Paid,2,2369
PAY-00022,DRV-022,2024-01-01,2024-01-31,2024-02-05,773,32.34,76.61,14,93.01,115.27,859.69,Bank Transfer,Paid,3,955
PAY-00023,DRV-023,2024-01-01,2024-01-31,2024-02-05,939,0.0,0,16,92.42,147.04,884.39,Bank Transfer,Paid,0,0
PAY-00024,DRV-024,2024-01-01,2024-01-31,2024-02-05,667,0.0,41.91,9,52.45,97.84,663.52,Bank Transfer,Paid,0,0
PAY-00025,DRV-025,2024-01-01,2024-01-31,2024-02-05,752,0.0,0,12,74.85,115.19,711.66,Bank Transfer,Paid,0,0
PAY-00026,DRV-026,2024-01-01,2024-01-31,2024-02-05,948,0.0,58.64,12,69.9,151.52,925.02,Bank Transfer,Paid,0,0
PAY-00027,DRV-027,2024-01-01,2024-01-31,2024-02-05,782,30.97,43.04,21,112.24,123.41,844.83,Bank Transfer,Paid,3,746
PAY-00028,DRV-028,2024-01-01,2024-01-31,2024-02-05,802,18.03,0,5,31.45,116.47,735.0,Bank Transfer,Paid,2,1286
PAY-00029,DRV-029,2024-01-01,2024-01-31,2024-02-05,785,45.86,52.95,25,132.32,119.83,896.3,Bank Transfer,Paid,5,3081
PAY-00030,DRV-030,2024-01-01,2024-01-31,2024-02-05,831,34.74,58.99,0,0.0,113.03,811.69,Bank Transfer,Paid,3,1629
PAY-00031,DRV-031,2024-01-01,2024-01-31,2024-02-05,888,58.92,0,5,31.29,119.74,858.47,Bank Transfer,Paid,5,2125
PAY-00032,DRV-032,2024-01-01,2024-01-31,2024-02-05,707,10.31,57.2,12,68.58,119.63,723.47,Bank Transfer,Paid,1,604
PAY-00033,DRV-033,2024-01-01,2024-01-31,2024-02-05,803,0.0,0,1,6.55,126.24,683.3,Bank Transfer,Paid,0,0
PAY-00034,DRV-034,2024-01-01,2024-01-31,2024-02-05,831,60.98,0,19,106.39,146.14,852.22,Bank Transfer,Paid,6,3244
PAY-00035,DRV-035,2024-01-01,2024-01-31,2024-02-05,666,0.0,0,7,44.11,103.29,606.82,Bank Transfer,Paid,0,0
PAY-00036,DRV-036,2024-01-01,2024-01-31,2024-02-05,725,0.0,56.31,0,0.0,110.66,670.65,Bank Transfer,Paid,0,0
PAY-00037,DRV-037,2024-01-01,2024-01-31,2024-02-05,726,0.0,59.13,6,41.48,126.68,699.94,Bank Transfer,Paid,0,0
PAY-00038,DRV-038,2024-01-01,2024-01-31,2024-02-05,754,0.0,44.41,25,134.33,100.83,831.92,Bank Transfer,Paid,0,0
PAY-00039,DRV-039,2024-01-01,2024-01-31,2024-02-05,795,61.62,0,8,47.75,129.18,775.2,Bank Transfer,Paid,7,4794
PAY-00040,DRV-040,2024-01-01,2024-01-31,2024-02-05,839,28.45,33.26,1,6.52,137.53,769.71,Bank Transfer,Paid,3,2097
PAY-00041,DRV-041,2024-01-01,2024-01-31,2024-02-05,654,17.02,0,17,85.45,94.14,662.33,Bank Transfer,Paid,2,1966
PAY-00042,DRV-042,2024-01-01,2024-01-31,2024-02-05,668,0.0,0,16,91.79,90.99,668.8,Bank Transfer,Paid,0,0
PAY-00043,DRV-043,2024-01-01,2024-01-31,2024-02-05,706,9.8,0,9,50.29,110.5,655.58,Bank Transfer,Paid,1,51
PAY-00044,DRV-044,2024-01-01,2024-01-31,2024-02-05,736,64.42,49.63,1,5.57,90.46,765.16,Bank Transfer,Paid,6,3255
PAY-00045,DRV-045,2024-01-01,2024-01-31,2024-02-05,860,0.0,45.79,1,5.57,109.46,801.89,Bank Transfer,Paid,0,0
PAY-00046,DRV-046,2024-01-01,2024-01-31,2024-02-05,919,0.0,40.45,12,82.48,149.52,892.41,Bank Transfer,Paid,0,0
PAY-00047,DRV-047,2024-01-01,2024-01-31,2024-02-05,782,108.21,36.71,22,122.01,129.85,919.08,Bank Transfer,Paid,12,6978
