Title,Price,Link,Image Link
Apple iPhone 15 - Pink 128 GB - ohne Simlock,"EUR 310,00",https://www.ebay.de/itm/257439157839,https://i.ebayimg.com/images/g/o0MAAeSwmFBpxRRO/s-l500.jpg
Apple iPhone 13 A2633 - 256GB - (PRODUCT)RED,"EUR 210,00",https://www.ebay.de/itm/188234268200,https://i.ebayimg.com/images/g/fOMAAeSw0ZJpzXe2/s-l140.jpg
Apple iPhone 13 - 128GB - Mitternacht (Ohne Simlock) (Dual-SIM),"EUR 205,99",https://www.ebay.de/itm/147228718574,https://i.ebayimg.com/images/g/~WsAAeSwiSJpyC5J/s-l140.jpg
Apple iPhone 13 A2633 (CDMA | GSM) - 512GB - Rosé (Ohne Simlock) (Dual-SIM),"EUR 221,22",https://www.ebay.de/itm/178019284743,https://i.ebayimg.com/images/g/uMYAAeSwnuZpz~LY/s-l140.jpg
iPhone 13 256GB Weiß Ohne Simlock 89% Akku Top Zustand,"EUR 211,01",https://www.ebay.de/itm/358397432211,https://i.ebayimg.com/images/g/FCwAAeSwxbxpzOYx/s-l140.jpg
"iPhone 13, Starlight, 128GB, 6.1"" Unlocked Excellent Condition ","EUR 239,68",https://www.ebay.de/itm/227271942300,https://i.ebayimg.com/images/g/WaAAAeSwAi5pw0U1/s-l140.jpg
Apple iPhone 13 128 GB Pink/Rosé – 86% Batterie – Top Zustand – Originalverpacku,"EUR 220,00",https://www.ebay.de/itm/336515283141,https://i.ebayimg.com/images/g/6K8AAeSw4v9pqcvw/s-l140.jpg
"APPLE iPhone 15 5G 128 GB 6,1 Zoll DualSIM 48 MP 4K Video rosé MTP13ZD/A B-Ware","EUR 384,00",https://www.ebay.de/itm/358388139364,https://i.ebayimg.com/images/g/I-gAAeSwSEFpso2c/s-l140.jpg
Apple iPhone 15 128GB Rosa / Rose OVP ,"EUR 330,00",https://www.ebay.de/itm/267623663739,https://i.ebayimg.com/images/g/sLYAAeSwpbxpyXGL/s-l140.jpg
iPhone 13 256GB Midnight Blau ohne Simlock,"EUR 231,00",https://www.ebay.de/itm/127779053934,https://i.ebayimg.com/images/g/-FEAAeSwyG9puZ2s/s-l140.jpg
iPhone 15 128 GB Rosa Pink ohne Simlock,"EUR 350,00",https://www.ebay.de/itm/206166873090,https://i.ebayimg.com/images/g/YxoAAeSwWtdpxCHV/s-l140.jpg
iPhone 13 - 128GB - weiß / Polarstern gepflegter Zustand,"EUR 210,00",https://www.ebay.de/itm/287231378125,https://i.ebayimg.com/images/g/3-4AAeSwE1Vpu9Ec/s-l140.jpg
iPhone 13 128GB Schwarz,"EUR 203,00",https://www.ebay.de/itm/127768062406,https://i.ebayimg.com/images/g/TcMAAeSwGwtpwtPz/s-l140.jpg
iphone 13 128gb grün tipptopp Zustand Mit Garantie,"EUR 201,01",https://www.ebay.de/itm/336505348985,https://i.ebayimg.com/images/g/Vx4AAeSwW5RptTbn/s-l140.jpg
"Apple iPhone 13, 128 GB - Grün (Ohne Simlock) ","EUR 201,14",https://www.ebay.de/itm/117104212922,https://i.ebayimg.com/images/g/CdoAAeSw4oFpwP2T/s-l140.jpg
Apple iPhone 13 128GB Midnight 94% im NEUZUSTAND,"EUR 236,00",https://www.ebay.de/itm/206171525720,https://i.ebayimg.com/images/g/BBEAAeSwBP5pxiHu/s-l140.jpg
