transaction_id,user_id,amount,currency,status,created_at,completed_at
9f4e2a1b-3c5d-4a8e-9b6f-1d2c3b4e5f6a,2741,587.34,USD,completed,2024-06-12T08:15:23Z,2024-06-12T09:02:11Z
2b7c9d4e-5f6a-7b8c-9d0e-1f2a3b4c5d6e,398,129.99,EUR,pending,2024-03-04T14:27:48Z,
a1c2d3e4-f5a6-b7c8-d9e0-f1a2b3c4d5e6,1123,743.2,USD,failed,2024-11-19T22:05:37Z,
b2c3d4e5-f6a7-b8c9-d0e1-f2a3b4c5d6e7,5678,45.67,EUR,completed,2024-02-28T05:41:12Z,2024-02-28T06:12:45Z
c3d4e5f6-a7b8-c9d0-e1f2-a3b4c5d6e7f8,2390,912.05,USD,completed,2024-09-07T11:33:50Z,2024-09-07T12:01:22Z
d4e5f6a7-b8c9-d0e1-f2a3-b4c5d6e7f8g9,825,210.44,EUR,pending,2024-05-21T19:08:04Z,
e5f6a7b8-c9d0-e1f2-a3b4-c5d6e7f8g9h0,3175,378.9,USD,failed,2024-08-15T03:56:19Z,
f6a7b8c9-d0e1-f2a3-b4c5-d6e7f8g9h0i1,1402,59.12,EUR,completed,2024-01-30T16:44:33Z,2024-01-30T17:20:10Z
a7b8c9d0-e1f2-a3b4-c5d6-e7f8g9h0i1j2,4921,805.77,USD,pending,2024-04-10T09:22:55Z,
b8c9d0e1-f2a3-b4c5-d6e7-f8g9h0i1j2k3,653,133.58,EUR,failed,2024-12-02T21:14:08Z,
c9d0e1f2-a3b4-c5d6-e7f8-g9h0i1j2k3l4,3810,470.22,USD,completed,2024-07-18T07:03:41Z,2024-07-18T07:55:23Z
d0e1f2a3-b4c5-d6e7-f8g9-h0i1j2k3l4m5,229,68.9,EUR,pending,2024-03-27T13:48:16Z,
e1f2a3b4-c5d6-e7f8-g9h0-i1j2k3l4m5n6,5173,921.33,USD,failed,2024-10-05T02:31:07Z,
f2a3b4c5-d6e7-f8g9-h0i1-j2k3l4m5n6o7,3984,312.5,EUR,completed,2024-06-23T15:20:44Z,2024-06-23T16:07:58Z
a3b4c5d6-e7f8-g9h0-i1j2-k3l4m5n6o7p8,745,84.21,USD,pending,2024-09-30T10:11:02Z,
b4c5d6e7-f8g9-h0i1-j2k3-l4m5n6o7p8q9,1832,658.44,EUR,completed,2024-02-14T04:55:19Z,2024-02-14T05:34:27Z
c5d6e7f8-g9h0-i1j2-k3l4-m5n6o7p8q9r0,4069,199.99,USD,failed,2024-11-21T18:27:33Z,
d6e7f8g9-h0i1-j2k3-l4m5-n6o7p8q9r0s1,310,541.07,EUR,completed,2024-05-06T12:40:58Z,2024-05-06T13:22:10Z
e7f8g9h0-i1j2-k3l4-m5n6-o7p8q9r0s1t2,5587,73.45,USD,pending,2024-08-12T09:05:44Z,
f8g9h0i1-j2k3-l4m5-n6o7-p8q9r0s1t2u3,1120,389.66,EUR,completed,2024-03-19T23:18:02Z,2024-03-20T00:04:53Z
g9h0i1j2-k3l4-m5n6-o7p8-q9r0s1t2u3v4,2675,115.0,USD,failed,2024-04-25T06:49:10Z,
h0i1j2k3-l4m5-n6o7-p8q9-r0s1t2u3v4w5,390,732.81,EUR,completed,2024-07-02T14:36:27Z,2024-07-02T15:12:09Z
i1j2k3l4-m5n6-o7p8-q9r0-s1t2u3v4w5x6,4721,258.44,USD,pending,2024-10-16T20:21:55Z,
j2k3l4m5-n6o7-p8q9-r0s1-t2u3v4w5x6y7,839,904.99,EUR,completed,2024-01-08T02:07:38Z,2024-01-08T02:45:12Z
k3l4m5n6-o7p8-q9r0-s1t2-u3v4w5x6y7z8,1543,57.23,USD,failed,2024-12-09T11:59:44Z,
l4m5n6o7-p8q9-r0s1-t2u3-v4w5x6y7z8a9,2998,621.77,EUR,completed,2024-06-30T08:14:20Z,2024-06-30T09:00:45Z
m5n6o7p8-q9r0-s1t2-u3v4-w5x6y7z8a9b0,417,132.55,USD,pending,2024-09-11T17:33:12Z,
n6o7p8q9-r0s1-t2u3-v4w5-x6y7z8a9b0c1,5410,459.3,EUR,failed,2024-05-18T01:42:57Z,
o7p8q9r0-s1t2-u3v4-w5x6-y7z8a9b0c1d2,2251,298.88,USD,completed,2024-03-22T13:55:06Z,2024-03-22T14:38:44Z
p8q9r0s1-t2u3-v4w5-x6y7-z8a9b0c1d2e3,3740,74.99,EUR,pending,2024-11-03T09:27:31Z,
q9r0s1t2-u3v4-w5x6-y7z8-a9b0c1d2e3f4,1587,812.1,USD,failed,2024-02-06T22:11:44Z,
r0s1t2u3-v4w5-x6y7-z8a9-b0c1d2e3f4g5,3665,194.63,EUR,completed,2024-07-27T05:19:28Z,2024-07-27T06:02:59Z
s1t2u3v4-w5x6-y7z8-a9b0-c1d2e3f4g5h6,442,56.88,USD,pending,2024-09-14T15:47:05Z,
t2u3v4w5-x6y7-z8a9-b0c1-d2e3f4g5h6i7,5189,675.44,EUR,completed,2024-04-10T10:02:19Z,2024-04-10T10:48:02Z
u3v4w5x6-y7z8-a9b0-c1d2-e3f4g5h6i7j8,1035,229.9,USD,failed,2024-12-20T23:41:55Z,
v4w5x6y7-z8a9-b0c1-d2e3-f4g5h6i7j8k9,2799,394.12,EUR,completed,2024-06-01T06:30:45Z,2024-06-01T07:13:21Z
w5x6y7z8-a9b0-c1d2-e3f4-g5h6i7j8k9l0,584,88.01,USD,pending,2024-08-18T13:59:22Z,
x6y7z8a9-b0c1-d2e3-f4g5-h6i7j8k9l0m1,3214,512.33,EUR,failed,2024-03-08T16:15:39Z,
y7z8a9b0-c1d2-e3f4-g5h6-i7j8k9l0m1n2,905,157.78,USD,completed,2024-10-03T01:45:57Z,2024-10-03T02:27:44Z
z8a9b0c1-d2e3-f4g5-h6i7-j8k9l0m1n2o3,2682,63.2,EUR,pending,2024-01-20T08:56:14Z,
a9b0c1d2-e3f4-g5h6-i7j8-k9l0m1n2o3p4,4375,780.65,USD,failed,2024-11-27T19:32:41Z,
b0c1d2e3-f4g5-h6i7-j8k9-l0m1n2o3p4q5,258,345.0,EUR,completed,2024-05-12T04:09:53Z,2024-05-12T04:55:07Z
c1d2e3f4-g5h6-i7j8-k9l0-m1n2o3p4q5r6,3971,117.88,USD,pending,2024-07-09T22:41:29Z,
d2e3f4g5-h6i7-j8k9-l0m1-n2o3p4q5r6s7,180,599.42,EUR,failed,2024-02-25T12:20:16Z,
e3f4g5h6-i7j8-k9l0-m1n2-o3p4q5r6s7t8,5268,241.57,USD,completed,2024-09-05T07:18:03Z,2024-09-05T08:02:21Z
f4g5h6i7-j8k9-l0m1-n2o3-p4q5r6s7t8u9,312,84.99,EUR,pending,2024-04-28T14:07:51Z,
g5h6i7j8-k9l0-m1n2-o3p4-q5r6s7t8u9v0,4102,935.11,USD,failed,2024-12-14T20:23:40Z,
h6i7j8k9-l0m1-n2o3-p4q5-r6s7t8u9v0w1,265,153.33,EUR,completed,2024-03-30T09:55:24Z,2024-03-30T10:38:59Z
i7j8k9l0-m1n2-o3p4-q5r6-s7t8u9v0w1x2,5849,72.14,USD,pending,2024-08-22T02:46:13Z,
j8k9l0m1-n2o3-p4q5-r6s7-t8u9v0w1x2y3,3298,467.8,EUR,failed,2024-05-04T16:19:51Z,
k9l0m1n2-o3p4-q5r6-s7t8-u9v0w1x2y3z4,1245,291.45,USD,completed,2024-07-15T11:03:37Z,2024-07-15T11:48:22Z
l0m1n2o3-p4q5-r6s7-t8u9-v0w1x2y3z4a5,470,118.2,EUR,pending,2024-10-09T08:55:02Z,
m1n2o3p4-q5r6-s7t8-u9v0-w1x2y3z4a5b6,3977,853.99,USD,failed,2024-02-12T17:41:19Z,
n2o3p4q5-r6s7-t8u9-v0w1-x2y3z4a5b6c7,532,204.77,EUR,completed,2024-06-19T03:28:46Z,2024-06-19T04:12:33Z
o3p4q5r6-s7t8-u9v0-w1x2-y3z4a5b6c7d8,2194,64.35,USD,pending,2024-09-23T21:07:58Z,
p4q5r6s7-t8u9-v0w1-x2y3-z4a5b6c7d8e9,6175,734.2,EUR,failed,2024-04-06T14:33:21Z,
q5r6s7t8-u9v0-w1x2-y3z4-a5b6c7d8e9f0,888,195.5,USD,completed,2024-07-29T06:12:05Z,2024-07-29T07:00:42Z
r6s7t8u9-v0w1-x2y3-z4a5-b6c7d8e9f0g1,4530,93.88,EUR,pending,2024-11-12T13:24:38Z,
s7t8u9v0-w1x2-y3z4-a5b6-c7d8e9f0g1h2,3044,610.45,USD,failed,2024-01-04T09:50:22Z,
t8u9v0w1-x2y3-z4a5-b6c7-d8e9f0g1h2i3,1765,238.99,EUR,completed,2024-05-21T16:41:07Z,2024-05-21T17:19:31Z
u9v0w1x2-y3z4-a5b6-c7d8-e9f0g1h2i3j4,401,77.22,USD,pending,2024-08-03T11:58:44Z,
v0w1x2y3-z4a5-b6c7-d8e9-f0g1h2i3j4k5,3759,896.3,EUR,failed,2024-03-15T20:07:34Z,
w1x2y3z4-a5b6-c7d8-e9f0-g1h2i3j4k5l6,1287,162.0,USD,completed,2024-09-30T05:14:58Z,2024-09-30T06:02:21Z
x2y3z4a5-b6c7-d8e9-f0g1-h2i3j4k5l6m7,5408,54.67,EUR,pending,2024-02-17T18:23:11Z,
y3z4a5b6-c7d8-e9f0-g1h2-i3j4k5l6m7n8,2920,777.44,USD,failed,2024-12-05T02:40:49Z,
z4a5b6c7-d8e9-f0g1-h2i3-j4k5l6m7n8o9,822,311.11,EUR,completed,2024-04-28T23:05:30Z,2024-04-28T23:49:12Z
a5b6c7d8-e9f0-g1h2-i3j4-k5l6m7n8o9p0,4096,99.99,USD,pending,2024-06-10T07:39:57Z,
b6c7d8e9-f0g1-h2i3-j4k5-l6m7n8o9p0q1,1664,643.22,EUR,failed,2024-08-27T15:27:44Z,
c7d8e9f0-g1h2-i3j4-k5l6-m7n8o9p0q1r2,2475,185.75,USD,completed,2024-01-22T12:56:08Z,2024-01-22T13:42:31Z
d8e9f0g1-h2i3-j4k5-l6m7-n8o9p0q1r2s3,514,66.44,EUR,pending,2024-03-05T10:14:33Z,
e9f0g1h2-i3j4-k5l6-m7n8-o9p0q1r2s3t4,3789,828.88,USD,failed,2024-10-19T04:22:57Z,
f0g1h2i3-j4k5-l6m7-n8o9-p0q1r2s3t4u5,2912,237.99,EUR,completed,2024-05-28T14:30:21Z,2024-05-28T15:12:47Z
g1h2i3j4-k5l6-m7n8-o9p0-q1r2s3t4u5v6,107,84.33,USD,pending,2024-07-13T09:45:58Z,
h2i3j4k5-l6m7-n8o9-p0q1-r2s3t4u5v6w7,5301,953.0,EUR,failed,2024-02-08T17:58:44Z,
i3j4k5l6-m7n8-o9p0-q1r2-s3t4u5v6w7x8,3620,149.75,USD,completed,2024-09-02T03:27:02Z,2024-09-02T04:10:19Z
j4k5l6m7-n8o9-p0q1-r2s3-t4u5v6w7x8y9,433,58.2,EUR,pending,2024-04-14T11:02:44Z,
k5l6m7n8-o9p0-q1r2-s3t4-u5v6w7x8y9z0,2693,712.55,USD,failed,2024-12-11T20:35:57Z,
l6m7n8o9-p0q1-r2s3-t4u5-v6w7x8y9z0a1,1794,247.33,EUR,completed,2024-06-03T06:18:30Z,2024-06-03T07:01:14Z
m7n8o9p0-q1r2-s3t4-u5v6-w7x8y9z0a1b2,3117,93.66,USD,pending,2024-08-09T15:41:57Z,
n8o9p0q1-r2s3-t4u5-v6w7-x8y9z0a1b2c3,5852,839.44,EUR,failed,2024-03-20T22:09:41Z,
o9p0q1r2-s3t4-u5v6-w7x8-y9z0a1b2c3d4,1205,176.0,USD,completed,2024-10-27T09:55:12Z,2024-10-27T10:38:45Z
p0q1r2s3-t4u5-v6w7-x8y9-z0a1b2c3d4e5,254,53.88,EUR,pending,2024-01-09T13:27:50Z,
q1r2s3t4-u5v6-w7x8-y9z0-a1b2c3d4e5f6,4678,610.99,USD,failed,2024-05-30T04:36:22Z,
r2s3t4u5-v6w7-x8y9-z0a1-b2c3d4e5f6g7,773,205.45,EUR,completed,2024-07-22T12:18:33Z,2024-07-22T13:03:58Z
s3t4u5v6-w7x8-y9z0-a1b2-c3d4e5f6g7h8,3809,99.99,USD,pending,2024-02-03T18:45:07Z,
t4u5v6w7-x8y9-z0a1-b2c3-d4e5f6g7h8i9,2164,733.33,EUR,failed,2024-12-18T07:11:54Z,
u5v6w7x8-y9z0-a1b2-c3d4-e5f6g7h8i9j0,5023,121.0,USD,completed,2024-04-22T05:29:41Z,2024-04-22T06:12:18Z
v6w7x8y9-z0a1-b2c3-d4e5-f6g7h8i9j0k1,389,68.58,EUR,pending,2024-09-16T14:53:19Z,
