Name, Address, City, State, Latitude, Longitude
Winners Chapel, 15 Chapel Road, Lagos, Lagos, 6.5244, 3.3792
Winners Chapel, 22 Victory Street, Abuja, FCT, 9.0765, 7.3986
Winners Chapel, 10 Faith Avenue, Port Harcourt, Rivers, 4.8156, 7.0498
Winners Chapel, 5 Hope Lane, Ibadan, Oyo, 7.3775, 3.9470
Winners Chapel, 18 Grace Crescent, Enugu, Enugu, 6.4402, 7.4944
Winners Chapel, 9 Mercy Street, Kano, Kano, 12.0022, 8.5919
Winners Chapel, 30 Peace Boulevard, Kaduna, Kaduna, 10.5105, 7.4165
Winners Chapel, 12 Blessing Way, Benin City, Edo, 6.3382, 5.6258
Winners Chapel, 8 Joy Street, Jos, Plateau, 9.8965, 8.8583
Winners Chapel, 25 Light Avenue, Abeokuta, Ogun, 7.1474, 3.3615
Winners Chapel, 3 Faithful Road, Bauchi, Bauchi, 10.3103, 9.8431
Winners Chapel, 17 Glory Lane, Uyo, Akwa Ibom, 5.0492, 7.9264
Winners Chapel, 20 Spirit Drive, Sokoto, Sokoto, 13.0545, 5.2463
Winners Chapel, 6 Hope Road, Warri, Delta, 5.5166, 5.7506
Winners Chapel, 14 Faith Street, Ilorin, Kwara, 8.5004, 4.5410
Winners Chapel, 29 Grace Road, Zaria, Kaduna, 11.1117, 7.7224
Winners Chapel, 7 Redeemed Lane, Onitsha, Anambra, 6.1498, 6.7850
Winners Chapel, 11 Covenant Street, Calabar, Cross River, 4.9486, 8.3415
Winners Chapel, 23 Christ Avenue, Oyo, Oyo, 7.8524, 3.9312
Winners Chapel, 4 Anointed Street, Makurdi, Benue, 7.7338, 8.5397
Winners Chapel, 16 Faith Boulevard, Owerri, Imo, 5.4851, 7.0351
Winners Chapel, 21 Praise Lane, Dutse, Jigawa, 11.7400, 9.3370
Winners Chapel, 2 Eternal Road, Lafia, Nasarawa, 8.4847, 8.5216
Winners Chapel, 19 Blessed Avenue, Minna, Niger, 9.6136, 6.5560
Winners Chapel, 27 Hope Street, Yola, Adamawa, 9.2075, 12.4950
Winners Chapel, 13 Revival Road, Gombe, Gombe, 10.2896, 11.1670
Winners Chapel, 1 Victory Lane, Akure, Ondo, 7.2526, 5.1935
Winners Chapel, 24 Salvation Street, Asaba, Delta, 6.2073, 6.7012
Winners Chapel, 28 Faithful Crescent, Katsina, Katsina, 12.9822, 7.6000
