Category,Item,Availability (1-10),Tactical Use-Case
Recyclables,Cardboard Tube (Small),9,"Mini forts, tunnels"
Recyclables,Aluminum Cans,8,"Sensory bins, sorting games"
Recyclables,Newspaper,7,"Collage making, paper mache"
Recyclables,Plastic Bags,6,"Sensory bins, sorting games"
Recyclables,Cardboard Box (Small),8,"Mini forts, tunnels"
Recyclables,Glass Bottles,5,"Sensory bins, sorting games"
Recyclables,Cardboard Tubes (Multiple),9,"Tunnels, mazes"
Recyclables,Cardboard (Shredded),8,"Sensory bins, sorting games"
Recyclables,Paper (Tissue),7,"Sensory bins, sorting games"
Recyclables,Cardboard (Flattened),9,"Tunnels, mazes"
Recyclables,Plastic Containers,8,"Sensory bins, sorting games"
Recyclables,Cardboard (Cutout),9,"Tunnels, mazes"
Recyclables,Newspaper (Ripped),7,"Collage making, paper mache"
Recyclables,Cardboard (Punched),8,"Tunnels, mazes"
Recyclables,Aluminum Foil (Wavy),9,"Shiny """"alien"""" armor, sculpting"
Recyclables,Cardboard (Folded),9,"Tunnels, mazes"
Recyclables,Plastic Bags (Tied),8,"Sensory bins, sorting games"
Recyclables,Cardboard Box (Medium),8,"Mini forts, tunnels"
Recyclables,Glass Bottles (Empty),7,"Sensory bins, sorting games"
Recyclables,Cardboard Tubes (Taped),9,"Tunnels, mazes"
Linens & Soft Goods,Fitted Sheet (Tangled),8,"Crash pads, obstacles"
Linens & Soft Goods,Blanket (Folded),9,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Pillow (Flat),7,"Crash pads, obstacles"
Linens & Soft Goods,Couch Cushion (Patched),8,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Pillow (Pillowcase),9,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Blanket (Ripped),7,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Fitted Sheet (Clean),9,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Pillow (Decorative),8,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Couch Cushion (Stuffed),9,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Blanket (Washed),8,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Fitted Sheet (Torn),7,"Crash pads, obstacles"
Linens & Soft Goods,Pillow (Fluffy),9,"Crash pads, obstacles"
Linens & Soft Goods,Couch Cushion (Decorative),8,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Blanket (Quilted),9,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Fitted Sheet (Hemmed),9,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Pillow (Decorative),8,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Couch Cushion (Patched),8,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Blanket (Tangled),7,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Fitted Sheet (Clean),9,"Mountains, """"lava"""" islands"
Linens & Soft Goods,Pillow (Pillowcase),9,"Mountains, """"lava"""" islands"
Adhesives & Tools,Painter's Tape (White),9,"Floor tracks, """"lasers,"""" wall art"
Adhesives & Tools,Masking/Scotch Tape,8,"Repairing """"damaged"""" spacecraft"
Adhesives & Tools,Glue Sticks,7,"Sensory bins, sorting games"
Adhesives & Tools,Double-Sided Tape,8,"Floor tracks, """"lasers,"""" wall art"
Adhesives & Tools,Tape Measure,9,"Floor tracks, """"lasers,"""" wall art"
Adhesives & Tools,Glue (Liquid),8,"Repairing """"damaged"""" spacecraft"
Adhesives & Tools,Pencil (Colored),9,"Floor tracks, """"lasers,"""" wall art"
